Date,Time_Block,Time_Block_Label,Hour,Minute,Demand_Forecast_MW,Solar_Forecast_MW,Wind_Forecast_MW,Generation_Forecast_MW,Net_Load_Forecast_MW,DAM_Price_Forecast
2026-01-25,1,00:00 - 00:15,0,0,6133.4575,21.544878,363.9829,385.5278,5747.9297,2581.2173
2026-01-25,2,00:15 - 00:30,0,15,6088.3076,20.82156,400.2746,421.09616,5667.2114,2692.563
2026-01-25,3,00:30 - 00:45,0,30,6099.6753,21.749722,432.81387,454.5636,5645.112,2586.1145
2026-01-25,4,00:45 - 01:00,0,45,6086.9185,22.042423,436.4101,458.4525,5628.466,2516.3064
2026-01-25,5,01:00 - 01:15,1,0,6130.192,21.749722,436.4101,458.15982,5672.032,2486.6865
2026-01-25,6,01:15 - 01:30,1,15,6137.1104,21.749722,436.4101,458.15982,5678.9507,2486.6865
2026-01-25,7,01:30 - 01:45,1,30,6141.113,21.749722,436.4101,458.15982,5682.953,2486.6865
2026-01-25,8,01:45 - 02:00,1,45,6134.7256,21.749722,436.4101,458.15982,5676.566,2494.5823
2026-01-25,9,02:00 - 02:15,2,0,6147.738,21.749722,436.44653,458.19626,5689.5415,2556.512
2026-01-25,10,02:15 - 02:30,2,15,6153.698,21.749722,436.44653,458.19626,5695.502,2572.735
2026-01-25,11,02:30 - 02:45,2,30,6155.69,21.749722,436.44653,458.19626,5697.4937,2495.0044
2026-01-25,12,02:45 - 03:00,2,45,6151.3315,21.749722,436.44653,458.19626,5693.1353,2479.0042
2026-01-25,13,03:00 - 03:15,3,0,6148.1123,21.749722,417.17004,438.91977,5709.1924,2464.9534
2026-01-25,14,03:15 - 03:30,3,15,6139.7344,21.749722,419.76227,441.512,5698.222,2440.5222
2026-01-25,15,03:30 - 03:45,3,30,6144.093,21.749722,419.76227,441.512,5702.5806,2466.061
2026-01-25,16,03:45 - 04:00,3,45,6144.093,21.749722,419.76227,441.512,5702.5806,2480.4016
2026-01-25,17,04:00 - 04:15,4,0,6204.483,21.749722,402.47394,424.22366,5780.2593,2456.3088
2026-01-25,18,04:15 - 04:30,4,15,6201.667,21.749722,396.74365,418.49338,5783.174,2465.2783
2026-01-25,19,04:30 - 04:45,4,30,6229.926,21.749722,396.74365,418.49338,5811.4326,2511.5696
2026-01-25,20,04:45 - 05:00,4,45,6241.3184,21.749722,396.74365,418.49338,5822.825,2570.335
2026-01-25,21,05:00 - 05:15,5,0,6255.6533,21.749722,316.48752,338.23724,5917.416,2764.875
2026-01-25,22,05:15 - 05:30,5,15,6248.16,21.749722,289.33496,311.0847,5937.0757,2755.1833
2026-01-25,23,05:30 - 05:45,5,30,6247.6875,21.749722,289.03717,310.7869,5936.9004,2892.3032
2026-01-25,24,05:45 - 06:00,5,45,6249.6655,21.749722,286.7965,308.54623,5941.119,3027.412
2026-01-25,25,06:00 - 06:15,6,0,6264.7905,68.916794,277.12698,346.04376,5918.7466,3499.2134
2026-01-25,26,06:15 - 06:30,6,15,6263.285,68.41926,277.12698,345.54623,5917.739,3703.1147
2026-01-25,27,06:30 - 06:45,6,30,6261.308,67.49108,277.69693,345.18802,5916.12,3896.7097
2026-01-25,28,06:45 - 07:00,6,45,6261.308,67.49108,277.69693,345.18802,5916.12,3851.6533
2026-01-25,29,07:00 - 07:15,7,0,6261.3936,103.205666,270.73795,373.9436,5887.45,4580.347
2026-01-25,30,07:15 - 07:30,7,15,6261.3936,103.70533,270.73795,374.44327,5886.95,4679.2456
2026-01-25,31,07:30 - 07:45,7,30,6261.3936,104.01755,270.73795,374.7555,5886.638,5179.76
2026-01-25,32,07:45 - 08:00,7,45,6261.3936,104.01755,270.73795,374.7555,5886.638,6255.649
2026-01-25,33,08:00 - 08:15,8,0,6250.7417,101.77858,270.29797,372.07654,5878.665,5179.0664
2026-01-25,34,08:15 - 08:30,8,15,6250.7417,101.77858,270.29797,372.07654,5878.665,4480.9272
2026-01-25,35,08:30 - 08:45,8,30,6250.7417,101.77858,270.29797,372.07654,5878.665,4129.689
2026-01-25,36,08:45 - 09:00,8,45,6250.7417,101.77858,270.29797,372.07654,5878.665,4113.5044
